date,precipitation
2017-01-05,0.42
2017-01-05,0.0
2017-01-05,0.06
2017-01-05,0.0
2017-01-05,0.0
2017-01-06,0.1
2017-01-06,0.59
2017-01-06,0.0
2017-01-06,0.01
2017-01-06,0.0
2017-01-06,0.1
2017-01-07,0.0
2017-01-07,0.0
2017-01-07,0.06
2017-01-07,0.0
2017-01-07,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-08,0.03
2017-01-08,0.0
2017-01-08,0.0
2017-01-08,0.0
2017-01-08,0.03
2017-01-09,0.0
2017-01-09,0.0
2017-01-09,0.0
2017-01-09,0.0
2017-01-09,
2017-01-09,0.0
2017-01-09,0.0
2017-01-10,
2017-01-10,0.0
2017-01-10,0.0
2017-01-10,0.0
2017-01-10,0.0
2017-01-10,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-11,0.0
2017-01-11,
2017-01-11,0.0
2017-01-11,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-12,0.0
2017-01-12,
2017-01-12,0.0
2017-01-12,0.0
2017-01-12,
2017-01-13,0.0
2017-01-13,
2017-01-13,0.0
2017-01-13,0.0
2017-01-13,0.0
2017-01-13,
2017-01-14,0.01
2017-01-14,0.0
2017-01-14,0.0
2017-01-14,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-15,0.0
2017-01-15,
2017-01-15,0.0
2017-01-15,0.01
2017-01-16,0.0
2017-01-16,
2017-01-16,0.0
2017-01-16,0.0
2017-01-16,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-17,0.0
2017-01-17,0.0
2017-01-17,0.0
2017-01-17,0.0
2017-01-17,0.0
2017-01-18,
2017-01-18,0.0
2017-01-18,0.0
2017-01-18,0.0
2017-01-18,0.0
2017-01-18,0.07
2017-01-18,0.0
2017-01-19,0.0
2017-01-19,0.0
2017-01-19,
2017-01-19,0.0
2017-01-19,0.0
2017-01-19,0.02
2017-01-19,0.0
2017-01-20,0.0
2017-01-20,0.0
2017-01-20,
2017-01-20,0.0
2017-01-20,0.0
2017-01-20,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-21,0.08
2017-01-21,0.11
2017-01-21,0.04
2017-01-21,0.03
2017-01-21,0.02
2017-01-22,0.16
2017-01-22,0.72
2017-01-22,0.09
2017-01-22,0.01
2017-01-22,0.04
2017-01-23,
2017-01-23,0.0
2017-01-23,0.01
2017-01-23,
2017-01-23,0.85
2017-01-23,0.08
2017-01-23,0.0
2017-01-24,0.13
2017-01-24,
2017-01-24,0.08
2017-01-24,0.04
2017-01-24,1.85
2017-01-24,0.15
2017-01-25,
2017-01-25,0.0
2017-01-25,0.12
2017-01-25,2.64
2017-01-25,
2017-01-25,0.03
2017-01-25,0.79
2017-01-26,0.0
2017-01-26,0.0
2017-01-26,0.01
2017-01-26,0.0
2017-01-26,0.0
2017-01-26,0.0
2017-01-26,0.1
2017-01-27,0.03
2017-01-27,0.03
2017-01-27,0.0
